All_Bonds;SP_500
101,4283;1520,77
101,4031;1520,77
101,3234;1507,08
101,1622;1492,25
101,1622;1502,51
101,0659;1494,5
101,1134;1489,26
101,0705;1481,99
101,1132;1484,91
101,1673;1480,87
101,0896;1465,81
100,9089;1444,51
101,0529;1459,9
101,0909;1451,34
101,0909;1449,05
101,0909;1448,72
101,0909;1439,03
101,0909;1427,21
101,0909;1426,57
101,0909;1458,29
101,0909;1436,51
101,5743;1436,23
101,5828;1426,46
101,5268;1434,32
101,4377;1436,28
101,538;1408,99
101,7427;1402,03
101,732;1387,02
102,0184;1364,59
102,0672;1329,78
102,0299;1374,17
101,9457;1374,62
101,9402;1349,97
101,9694;1342,13
101,9916;1388,76
101,957;1396,93
101,957;1395,78
102,0305;1398,13
102,0305;1364,9
102,0305;1364,44
102,0305;1379,58
102,0305;1398,66
102,0305;1429,4
102,1362;1421,22
102,1397;1428,32
102,1544;1426,69
102,0922;1432,19
102,0922;1431,87
101,9665;1409,28
102,1069;1400,14
102,1921;1365,98
102,3344;1351,26
102,3525;1382,95
102,3954;1389,81
102,529;1372,32
102,5214;1367,72
102,5846;1342,62
102,5846;1347,35
102,5846;1322,36
102,5846;1322,36
102,874;1341,77
102,874;1348,97
102,874;1336,09
102,874;1341,91
102,874;1314,95
103,5974;1315,23
103,8377;1324,97
103,8739;1376,54
103,9446;1351,46
103,9446;1343,55
103,8714;1369,89
103,8115;1380,2
103,7961;1371,18
104,0904;1359,99
104,336;1340,93
104,5751;1312,15
104,7297;1322,74
104,4881;1305,6
104,6019;1264,74
104,6019;1274,86
104,6019;1305,97
104,6019;1305,97
104,6019;1315,19
104,6019;1328,92
104,6019;1334,22
104,6019;1320,28
104,9883;1320,28
105,6264;1283,27
105,7282;1347,56
105,6756;1333,34
105,8967;1298,35
105,8967;1295,86
105,5947;1300,8
105,3266;1313,27
105,5113;1326,82
105,1311;1318,32
105,1968;1318,32
105,0949;1326,65
105,1948;1329,47
105,3175;1347,97
105,245;1342,54
105,245;1342,9
105,245;1360,4
105,245;1364,3
105,245;1357,51
105,245;1354,95
105,245;1364,17
105,245;1373,73
105,245;1366,01
105,6904;1373,47
105,7462;1349,47
105,8895;1354,31
105,8534;1352,26
105,9721;1340,89
105,9721;1332,53
105,9731;1314,76
105,987;1330,31
105,987;1318,8
105,8893;1315,92
105,5881;1326,61
105,7184;1301,53
105,8093;1301,53
105,7531;1278,94
105,6333;1255,27
105,6333;1252,82
105,6333;1245,86
105,6333;1267,65
105,6333;1257,94
105,6333;1239,94
106,2245;1241,23
106,3023;1234,18
106,1615;1241,41
106,2572;1253,8
106,2811;1261,89
106,2811;1264,74
106,5057;1233,42
106,5809;1180,16
106,5809;1197,66
106,6492;1166,71
106,738;1173,56
106,9639;1150,53
106,8003;1170,81
106,726;1142,62
107,0124;1122,14
107,0124;1117,58
107,0124;1139,83
107,0124;1152,69
107,0124;1182,17
107,0124;1153,29
107,0124;1147,95
107,0124;1160,33
106,8971;1145,87
107,0153;1106,46
106,7838;1103,25
106,83;1151,44
107,1046;1128,43
107,0597;1137,59
106,8499;1168,38
106,412;1165,89
106,3594;1183,5
106,3594;1183,5
106,3593;1179,68
106,1852;1191,81
106,0358;1238,16
105,7389;1253,7
105,9301;1242,98
105,9301;1224,36
105,8687;1209,47
105,8687;1228,75
105,8687;1234,52
105,8687;1253,05
105,8687;1249,46
105,5315;1266,44
105,6705;1267,43
105,9379;1248,58
106,0974;1266,61
106,1126;1263,51
106,1126;1261,2
106,3015;1255,54
106,4786;1255,18
106,1117;1245,67
105,7687;1248,92
105,7338;1249,44
105,8086;1284,99
105,9267;1288,49
105,9338;1291,96
105,9723;1312,83
105,9723;1309,38
105,9723;1289,05
105,6391;1293,17
105,6391;1277,89
105,6391;1277,89
105,6391;1267,93
105,6391;1248,08
105,6391;1255,82
106,2348;1260,67
106,2719;1267,11
106,6029;1283,57
106,4156;1270,03
106,301;1276,96
106,3415;1264,96
106,429;1254,39
106,3276;1255,85
106,2559;1241,6
106,6579;1219,87
106,6554;1214,36
106,772;1208,43
106,6907;1212,58
106,8253;1223,14
107,0757;1237,04
107,0757;1225,35
107,0757;1218,6
107,0757;1216,76
107,0757;1211,07
107,0757;1226,2
107,0757;1224,42
106,6663;1236,71
106,4948;1234,45
106,515;1234,45
106,5404;1219,24
106,7883;1190,59
109,1442;1198,78
110,6779;1181,52
113,4757;1180,18
110,5518;1208,14
106,933;1215,68
107,0823;1202,45
107,1618;1214,44
107,3298;1207,71
107,4096;1215,02
107,6291;1210,85
107,6291;1191,03
107,6794;1171,65
107,6794;1190,49
107,6794;1202,93
107,6794;1205,82
107,6794;1204,52
107,6794;1211,23
105,8795;1215,93
105,8131;1220,75
106,532;1214,35
108,1413;1200,48
108,1413;1204,4
108,1361;1183,53
108,5676;1183,43
108,7885;1190,16
108,8382;1191,29
108,6581;1186,73
108,6951;1178,02
108,8588;1181,66
109,0982;1161,97
109,006;1171,41
108,8155;1157,26
108,8155;1165,31
108,8155;1162,09
108,5271;1184,93
108,5271;1179,21
108,5271;1161,51
108,5271;1148,6
108,5271;1129,03
108,5271;1133,58
109,208;1133,58
108,5327;1132,94
108,5042;1131,74
108,8693;1106,4
108,8693;1085,78
108,9056;1092,54
109,4089;1092,54
109,2469;1092,54
109,2747;1092,54
109,6046;1092,54
109,5219;1038,77
109,4477;1032,74
109,3876;1016,1
109,3868;984,54
109,3868;965,8
109,1714;1003,45
109,1714;1012,27
109,1714;1007,04
109,1714;1018,61
109,1714;1040,94
109,9796;1038,55
110,3011;1051,33
110,5545;1072,28
110,527;1069,63
110,6779;1071,38
